ticker,ev_ebit,roic,ev_ebit_rank,roic_rank,magic_formula
GETT4,7.36,0.011,80,227,307
GGPS3,21.58,0.115,190,118,308
RAIZ4,15.4,0.083,160,152,312
ENEV3,18.34,0.088,171,143,314
NGRD3,13.2,0.066,146,170,316
RADL3,30.35,0.123,208,108,316
AERI3,26.19,0.112,199,122,321
POWE3,10.63,0.035,120,204,324
MTRE3,10.67,0.036,121,203,324
CTSA4,12.11,0.046,138,187,325
JSLG3,14.56,0.063,154,174,328
AGXY3,14.39,0.06,153,175,328
EZTC3,15.1,0.059,156,177,333
VIIA3,12.39,0.044,141,193,334
HAGA3,38.2,0.113,215,120,335
ALPA4,25.66,0.1,198,137,335
RRRP3,23.02,0.086,192,144,336
RDOR3,30.32,0.107,207,131,338
AMBP3,19.46,0.079,180,162,342
EMBR3,13.02,0.038,145,199,344
IGTI3,18.5,0.065,173,171,344
BRIT3,17.27,0.06,168,176,344
RECV3,20.95,0.081,188,157,345
CTSA3,15.3,0.046,158,188,346
YDUQ3,19.53,0.066,181,169,350
IGTI11,19.9,0.065,184,172,356
MDIA3,18.58,0.052,174,183,357
MRVE3,15.2,0.037,157,201,358
MULT3,23.46,0.074,195,164,359
BRML3,15.36,0.038,159,200,359
ALPK3,18.63,0.05,175,185,360
AZUL4,27.69,0.08,202,158,360
PETZ3,39.34,0.086,216,149,365
ESPA3,20.25,0.052,186,181,367
VIVT3,19.82,0.049,183,186,369
UGPA3,20.07,0.052,185,184,369
NTCO3,19.39,0.046,179,190,369
ALSO3,18.36,0.039,172,198,370
ELET6,16.3,0.031,162,209,371
ELET3,16.4,0.031,163,210,373
MOSI3,42.98,0.081,217,156,373
JPSA3,20.35,0.046,187,189,376
SBFG3,25.56,0.053,197,180,377
COGN3,17.22,0.027,167,212,379
HBRE3,16.67,0.024,166,215,381
CSAN3,22.07,0.045,191,192,383
EMAE4,24.39,0.039,196,196,392
ORVR3,47.53,0.057,218,178,396
RAIL3,29.1,0.041,204,194,398
AALR3,29.39,0.04,205,195,400
HBOR3,19.65,0.019,182,218,400
ANIM3,23.4,0.033,194,206,400
PNVL3,38.1,0.039,213,197,410
OPCT3,27.46,0.025,201,214,415
AMER3,34.15,0.035,210,205,415
BRPR3,27.42,0.021,200,217,417
LOGG3,35.39,0.023,211,216,427
SQIA3,60.3,0.032,220,207,427
SOMA3,47.65,0.029,219,211,430
GUAR3,35.91,0.018,212,219,431
GNDI3,91.13,0.031,227,208,435
ITSA4,72.65,0.017,223,220,443
APER3,67.49,0.017,221,222,443
GFSA3,38.14,0.01,214,230,444
HAPV3,172.28,0.027,231,213,444
ITSA3,73.68,0.017,224,221,445
AESB3,71.27,0.015,222,223,445
RCSL4,85.71,0.014,226,225,451
DASA3,110.98,0.01,228,229,457
RCSL3,307.16,0.014,234,224,458
TEND3,77.07,0.005,225,234,459
MEGA3,114.53,0.01,229,231,460
MGLU3,177.47,0.011,232,228,460
SEQL3,150.29,0.009,230,232,462
LWSA3,276.96,0.006,233,233,466
